signature,count
VP:Pred,53075
CP:Conj,44027
PP:Cmpl:det,24464
NP:Subj:det,13129
PP:Objc:det,9492
PrNP:Subj:det,8103
NP:Objc:und,7730
NP:Subj:und,6516
CP:Rela,6136
PP:Adju:det,5969
NegP:Nega,5557
VP:PreC,5085
PP:PreC:det,4823
NP:Objc:det,4733
VP:PreO,4579
PPrP:Subj:det,3998
AdvP:Modi,3348
NP:PreC:und,3050
PP:Cmpl:und,3013
PP:Adju:und,2600
NP:PreC:det,2397
PP:Loca:det,1885
PP:Time:det,1730
AdjP:PreC,1484
InjP:Intj,1484
NP:Cmpl:det,1359
PP:PreC:und,1198
InrP:Ques,1116
PrNP:PreC:det,933
AdvP:Cmpl,856
VP:PreS,852
PP:Time:und,792
PP:Subj:det,787
AdvP:Time,640
DPrP:Subj:det,621
NP:Voct:det,591
NP:Time:det,563
NegP:NCop,541
NP:Frnt:det,522
NP:Time:und,457
PrNP:Cmpl:det,438
PrNP:Voct:det,408
AdvP:Loca,406
CP:Objc,403
PP:Objc:und,383
NP:Adju:und,350
IPrP:Subj:und,335
NP:Adju:det,329
PrNP:Objc:det,327
CP:Subj,307
NP:Frnt:und,292
PP:Loca:und,281
NP:Voct:und,274
NP:Cmpl:und,269
CP:Cmpl,262
InjP:IntS,250
AdvP:PreC,220
IPrP:Objc:und,212
PP:Frnt:det,210
IPrP:PreC:und,188
PP:Supp:det,177
PP:Adju,172
PP:Subj:und,152
CP:Adju,147
NP:Modi:und,144
PP:Time,142
NP:Exst:und,137
VP:PtcO,137
NP:Loca:det,135
AdjP:PrAd,121
PP:Cmpl,120
PrNP:Frnt:det,105
DPrP:Objc:det,102
PPrP:Frnt:det,100
NegP:NCoS,96
NP:PrAd:und,87
CP:PreC,74
InrP:PreC,65
PP:Frnt:und,55
NP:Loca:und,41
PrNP:Adju:det,40
CP:Loca,38
CP:Frnt,37
CP:Time,35
AdvP:Adju,32
AdvP:Subj,32
AdvP:ModS,31
PP:Modi:det,30
PrNP:Loca:det,29
PP:PreC,25
PPrP:PreC:det,23
NP:Modi:det,22
DPrP:Frnt:det,21
PP:Modi:und,21
PPrP:EPPr:det,20
PP:PrAd:det,19
PrNP:Time:det,18
PP:Loca,17
AdjP:Objc,14
AdvP:Objc,14
NP:ExsS:det,14
PP:PrAd:und,14
PPrP:Objc:det,14
DPrP:PreC:det,10
InrP:Cmpl,10
PPrP:Cmpl:det,10
PP:Voct:det,9
AdjP:Subj,8
InrP:PrcS,8
PP:Subj,8
IPrP:Frnt:und,7
NP:PreO:und,7
PP:PreO:det,7
PP:Voct:und,7
NP:PrAd:det,6
AdjP:Cmpl,5
AdvP:Frnt,4
NP:PreO:det,4
AdjP:Frnt,3
NP:PrcS:det,3
NP:PreS:det,3
PP:ModS:det,3
PPrP:PreO:det,3
PrNP:PreS:det,3
CP:Modi,2
CP:PreO,2
PP:Objc,2
PPrP:PreS:det,2
AdjP:Adju,1
CP:PrAd,1
CP:Voct,1
PP:PrcS:det,1
PP:PtcO:det,1
PP:Ques:det,1
PrNP:PrcS:det,1
